,username,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,UniqueID,track_uri
12333,ozdakaac3d5c3izl7tcrrzu7i,1170,Stargirl Interlude,The Weeknd,Starboy,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,The Weeknd:Stargirl Interlude,5gDWsRxpJ2lZAffh5p7K0w
12334,ozdakaac3d5c3izl7tcrrzu7i,26620,Dead To Me,Kali Uchis,Isolation,spotify:track:6LOZws7T3jqZz78unPgFF9,Kali Uchis:Dead To Me,6LOZws7T3jqZz78unPgFF9
12335,ozdakaac3d5c3izl7tcrrzu7i,220560,Don’t Blame Me,Taylor Swift,reputation,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift:Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE
12336,ozdakaac3d5c3izl7tcrrzu7i,1100,NEW MAGIC WAND,"Tyler, The Creator",IGOR,spotify:track:0fv2KH6hac06J86hBUTcSf,"Tyler, The Creator:NEW MAGIC WAND",0fv2KH6hac06J86hBUTcSf
12337,ozdakaac3d5c3izl7tcrrzu7i,80,Haunted,Laura Les,Haunted,spotify:track:1toNKayLMeCcVlsLGXJl7n,Laura Les:Haunted,1toNKayLMeCcVlsLGXJl7n
12338,ozdakaac3d5c3izl7tcrrzu7i,100,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,lately I feel EVERYTHING,spotify:track:5JKnYZOhSP7rOK0jPYcCjV,WILLOW:t r a n s p a r e n t s o u l feat. Travis Barker,5JKnYZOhSP7rOK0jPYcCjV
12339,ozdakaac3d5c3izl7tcrrzu7i,0,Daddy AF,Slayyyter,Daddy AF,spotify:track:5Pj9iXYfe607U62YwSF5rC,Slayyyter:Daddy AF,5Pj9iXYfe607U62YwSF5rC
12340,ozdakaac3d5c3izl7tcrrzu7i,0,Into It,Chase Atlantic,Chase Atlantic,spotify:track:4HwDCXsMBC7SUdp2WT4MZP,Chase Atlantic:Into It,4HwDCXsMBC7SUdp2WT4MZP
12341,ozdakaac3d5c3izl7tcrrzu7i,0,Bottom Bitch,Doja Cat,Hot Pink,spotify:track:1L0z2CQKrKJ2spYSMkfim9,Doja Cat:Bottom Bitch,1L0z2CQKrKJ2spYSMkfim9
12342,ozdakaac3d5c3izl7tcrrzu7i,0,DEVILISH,Chase Atlantic,DON'T TRY THIS,spotify:track:0e8aaWrJHYYKZilbqmqNxs,Chase Atlantic:DEVILISH,0e8aaWrJHYYKZilbqmqNxs
12343,ozdakaac3d5c3izl7tcrrzu7i,0,Chun Swae (feat. Swae Lee),Nicki Minaj,Queen,spotify:track:03It1uO69CjGWP3yyVe465,Nicki Minaj:Chun Swae (feat. Swae Lee),03It1uO69CjGWP3yyVe465
12344,ozdakaac3d5c3izl7tcrrzu7i,0,Don't Wanna Fall In Love,KYLE,Smyle,spotify:track:3oX4rYpiWbx87CTBVQEwik,KYLE:Don't Wanna Fall In Love,3oX4rYpiWbx87CTBVQEwik
12345,ozdakaac3d5c3izl7tcrrzu7i,0,You Get Me So High,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,spotify:track:7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood:You Get Me So High,7zwn1eykZtZ5LODrf7c0tS
12346,ozdakaac3d5c3izl7tcrrzu7i,0,Okay,Chase Atlantic,Chase Atlantic,spotify:track:492PZFHvGTm3RZZYeeUVWT,Chase Atlantic:Okay,492PZFHvGTm3RZZYeeUVWT
12347,ozdakaac3d5c3izl7tcrrzu7i,15060,Johanna,Suki Waterhouse,Johanna,spotify:track:6gH2V6XzhDXfTqml6c2w4Z,Suki Waterhouse:Johanna,6gH2V6XzhDXfTqml6c2w4Z
12348,ozdakaac3d5c3izl7tcrrzu7i,91460,You And Me,Lifehouse,Lifehouse,spotify:track:0815caqt2Lytro5EIzMufT,Lifehouse:You And Me,0815caqt2Lytro5EIzMufT
12349,ozdakaac3d5c3izl7tcrrzu7i,8060,Neptune,Rusty Clanton,Neptune,spotify:track:5Pse1snxt74TLep0unmB3P,Rusty Clanton:Neptune,5Pse1snxt74TLep0unmB3P
12350,ozdakaac3d5c3izl7tcrrzu7i,6250,1950,King Princess,1950,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,King Princess:1950,0CZ8lquoTX2Dkg7Ak2inwA
12351,ozdakaac3d5c3izl7tcrrzu7i,8010,Out Of Love,Alessia Cara,The Pains Of Growing,spotify:track:4WzhjxvLP95y7AMDy0Atwb,Alessia Cara:Out Of Love,4WzhjxvLP95y7AMDy0Atwb
12352,ozdakaac3d5c3izl7tcrrzu7i,158640,Russian Roulette,Rihanna,Rated R,spotify:track:3rMsX63C0IZVnOT5LGYoTH,Rihanna:Russian Roulette,3rMsX63C0IZVnOT5LGYoTH
12353,ozdakaac3d5c3izl7tcrrzu7i,23210,Monster,Imagine Dragons,Smoke + Mirrors,spotify:track:4uyDe8SeM0Nsgzp9KMtXWn,Imagine Dragons:Monster,4uyDe8SeM0Nsgzp9KMtXWn
12354,ozdakaac3d5c3izl7tcrrzu7i,187243,Animals,Maroon 5,V,spotify:track:3h4T9Bg8OVSUYa6danHeH5,Maroon 5:Animals,3h4T9Bg8OVSUYa6danHeH5
12355,ozdakaac3d5c3izl7tcrrzu7i,18166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,spotify:track:22skzmqfdWrjJylampe0kt,Macklemore & Ryan Lewis:Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt
12356,ozdakaac3d5c3izl7tcrrzu7i,90040,Kool Aid,The Attire,Kool Aid,spotify:track:2P8OOPJd6fgWYhtBauM3nt,The Attire:Kool Aid,2P8OOPJd6fgWYhtBauM3nt
12357,ozdakaac3d5c3izl7tcrrzu7i,20790,Should've Said No,Taylor Swift,Taylor Swift,spotify:track:6CdaXOq1MWe2JHDalTG01d,Taylor Swift:Should've Said No,6CdaXOq1MWe2JHDalTG01d
12358,ozdakaac3d5c3izl7tcrrzu7i,32100,Our Song,Taylor Swift,Taylor Swift,spotify:track:43H3q2NWT9LCuYS1B5IUvV,Taylor Swift:Our Song,43H3q2NWT9LCuYS1B5IUvV
12359,ozdakaac3d5c3izl7tcrrzu7i,30800,Picture To Burn,Taylor Swift,Taylor Swift,spotify:track:1nuk1yTZO3zR8XB8Ofk9q3,Taylor Swift:Picture To Burn,1nuk1yTZO3zR8XB8Ofk9q3
12360,ozdakaac3d5c3izl7tcrrzu7i,10080,You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift:You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA
12361,ozdakaac3d5c3izl7tcrrzu7i,42590,Sparks Fly,Taylor Swift,Speak Now,spotify:track:09cM9BjyNFizKUOXh6j9rT,Taylor Swift:Sparks Fly,09cM9BjyNFizKUOXh6j9rT
12362,ozdakaac3d5c3izl7tcrrzu7i,47560,Better Than Revenge,Taylor Swift,Speak Now,spotify:track:55mh9j2aB7xZ1Oh463gK8k,Taylor Swift:Better Than Revenge,55mh9j2aB7xZ1Oh463gK8k
12363,ozdakaac3d5c3izl7tcrrzu7i,8550,Haunted,Taylor Swift,Speak Now,spotify:track:72idZxdEHLbi2YI486c3sE,Taylor Swift:Haunted,72idZxdEHLbi2YI486c3sE
12364,ozdakaac3d5c3izl7tcrrzu7i,189638,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:3z6XUommYDWPHeFhmhhT6j,Taylor Swift:Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j
12365,ozdakaac3d5c3izl7tcrrzu7i,28841,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,Taylor Swift:I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL
12366,ozdakaac3d5c3izl7tcrrzu7i,80090,How You Get The Girl,Taylor Swift,1989,spotify:track:0fM9dEhUFV4MHDuJgrcfOv,Taylor Swift:How You Get The Girl,0fM9dEhUFV4MHDuJgrcfOv
12367,ozdakaac3d5c3izl7tcrrzu7i,94800,Gorgeous,Taylor Swift,reputation,spotify:track:1ZY1PqizIl78geGM4xWlEA,Taylor Swift:Gorgeous,1ZY1PqizIl78geGM4xWlEA
12368,ozdakaac3d5c3izl7tcrrzu7i,3860,So It Goes...,Taylor Swift,reputation,spotify:track:5PxFv9yJEg9dxvbZggykro,Taylor Swift:So It Goes...,5PxFv9yJEg9dxvbZggykro
12369,ozdakaac3d5c3izl7tcrrzu7i,49960,This Is Why We Can't Have Nice Things,Taylor Swift,reputation,spotify:track:07NxDD1iKCHbAldceD7QLP,Taylor Swift:This Is Why We Can't Have Nice Things,07NxDD1iKCHbAldceD7QLP
12370,ozdakaac3d5c3izl7tcrrzu7i,7300,Dress,Taylor Swift,reputation,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,Taylor Swift:Dress,6oVxXO5oQ4pTpO8RSnkzvv
12371,ozdakaac3d5c3izl7tcrrzu7i,115680,Paper Rings,Taylor Swift,Lover,spotify:track:4y5bvROuBDPr5fuwXbIBZR,Taylor Swift:Paper Rings,4y5bvROuBDPr5fuwXbIBZR
12372,ozdakaac3d5c3izl7tcrrzu7i,100840,Bejeweled,Taylor Swift,Midnights,spotify:track:3qoftcUZaUOncvIYjFSPdE,Taylor Swift:Bejeweled,3qoftcUZaUOncvIYjFSPdE
12373,ozdakaac3d5c3izl7tcrrzu7i,6290,Maroon,Taylor Swift,Midnights,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift:Maroon,3eX0NZfLtGzoLUxPNvRfqm
12374,ozdakaac3d5c3izl7tcrrzu7i,17270,Question...?,Taylor Swift,Midnights,spotify:track:0heeNYlwOGuUSe7TgUD27B,Taylor Swift:Question...?,0heeNYlwOGuUSe7TgUD27B
12375,ozdakaac3d5c3izl7tcrrzu7i,20650,"no body, no crime (feat. HAIM)",Taylor Swift,evermore,spotify:track:3RaT22zZsxVYxxKR7TAaYF,"Taylor Swift:no body, no crime (feat. HAIM)",3RaT22zZsxVYxxKR7TAaYF
12376,ozdakaac3d5c3izl7tcrrzu7i,88310,Pour Some Sugar On Me - Remastered 2017,Def Leppard,Hysteria,spotify:track:0PdM2a6oIjqepoEfcJo0RO,Def Leppard:Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO
